"day","job","Ptime","starttime","endtime"
2021/1/25 0:00:00,"JSCRMWD212_1349",4.79166666666667e-03,2021/1/25 0:21:16,2021/1/25 0:29:03
2021/1/25 0:00:00,"JSCRMWD112_1260",4.98842592592593e-03,2021/1/25 0:47:48,2021/1/25 0:55:59
2021/2/15 0:00:00,"JSCRMWD212_1267",5.34722222222222e-03,2021/2/15 0:03:17,2021/2/15 0:11:56
2021/2/15 0:00:00,"JSCRMWD212_1349",4.96527777777778e-03,2021/2/15 0:24:02,2021/2/15 0:31:56
2021/2/15 0:00:00,"JSCRMWD112_1260",5.01157407407408e-03,2021/2/15 0:49:50,2021/2/15 0:57:54
2021/2/22 0:00:00,"JSCRMWD212_1267",5.38194444444445e-03,2021/2/22 0:03:22,2021/2/22 0:12:05
2021/2/22 0:00:00,"JSCRMWD212_1349",4.81481481481482e-03,2021/2/22 0:23:36,2021/2/22 0:31:22
2021/2/22 0:00:00,"JSCRMWD112_1260",5.09259259259259e-03,2021/2/22 0:51:06,2021/2/22 0:59:13
2021/3/8 0:00:00,"JSCRMWD212_1267",5.37037037037037e-03,2021/3/8 0:02:31,2021/3/8 0:11:09
2021/3/8 0:00:00,"JSCRMWD212_1349",4.90740740740741e-03,2021/3/8 0:23:52,2021/3/8 0:31:42
2021/3/8 0:00:00,"JSCRMWD112_1260",5.0e-03,2021/3/8 0:52:11,2021/3/8 1:00:23
2021/3/15 0:00:00,"JSCRMWD212_1267",5.40509259259259e-03,2021/3/15 0:02:29,2021/3/15 0:11:07
2021/3/15 0:00:00,"JSCRMWD212_1349",4.82638888888889e-03,2021/3/15 0:25:37,2021/3/15 0:33:23
2021/3/15 0:00:00,"JSCRMWD112_1260",5.03472222222222e-03,2021/3/15 0:52:01,2021/3/15 1:00:05
2021/3/22 0:00:00,"JSCRMWD212_1267",5.56712962962963e-03,2021/3/22 0:00:56,2021/3/22 0:09:44
2021/3/22 0:00:00,"JSCRMWD212_1349",5.08101851851852e-03,2021/3/22 0:25:04,2021/3/22 0:33:04
2021/3/22 0:00:00,"JSCRMWD112_1260",5.09259259259259e-03,2021/3/22 0:48:37,2021/3/22 0:56:45
2021/4/1 0:00:00,"JSCRMWD112_1299",6.94444444444444e-05,2021/4/1 23:10:25,2021/4/1 1:15:38
2021/4/11 0:00:00,"JSCRMWD212_1267",1.21527777777778e-03,2021/4/11 23:59:55,2021/4/12 0:01:52
2021/4/12 0:00:00,"JSCRMWD212_1349",4.87268518518518e-03,2021/4/12 0:24:22,2021/4/12 0:32:19
2021/4/12 0:00:00,"JSCRMWD112_1260",5.10416666666667e-03,2021/4/12 0:49:10,2021/4/12 0:57:27
2021/4/18 0:00:00,"JSCRMWD212_1267",5.32407407407407e-04,2021/4/18 23:59:59,2021/4/19 0:00:52
2021/4/19 0:00:00,"JSCRMWD212_1349",4.91898148148148e-03,2021/4/19 0:26:34,2021/4/19 0:34:29
2021/4/19 0:00:00,"JSCRMWD112_1260",5.06944444444445e-03,2021/4/19 0:50:11,2021/4/19 0:58:20
2021/5/9 0:00:00,"JSCRMWD212_1267",4.22453703703704e-03,2021/5/9 23:59:58,2021/5/10 0:06:59
2021/5/10 0:00:00,"JSCRMWD112_1242",1.38888888888889e-03,2021/5/10 0:00:01,2021/5/10 0:02:19
2021/5/10 0:00:00,"JSCRMWD212_1349",4.84953703703704e-03,2021/5/10 0:48:03,2021/5/10 0:56:04
2021/5/10 0:00:00,"JSCRMWD112_1260",5.13888888888889e-03,2021/5/10 1:37:32,2021/5/10 1:46:00
2021/5/17 0:00:00,"JSCRMWD212_1267",1.46990740740741e-03,2021/5/17 0:00:00,2021/5/17 0:02:21
2021/5/17 0:00:00,"JSCRMWD212_1349",4.87268518518518e-03,2021/5/17 0:28:44,2021/5/17 0:36:30
2021/5/17 0:00:00,"JSCRMWD112_1260",5.08101851851852e-03,2021/5/17 0:50:13,2021/5/17 0:58:23
2021/5/23 0:00:00,"JSCRMWD212_1267",1.96759259259259e-03,2021/5/23 23:59:57,2021/5/24 0:03:08
2021/5/24 0:00:00,"JSCRMWD212_1349",4.93055555555556e-03,2021/5/24 0:30:11,2021/5/24 0:38:01
2021/5/24 0:00:00,"JSCRMWD112_1260",5.03472222222223e-03,2021/5/24 0:54:02,2021/5/24 1:02:11
